artist,title,year,decade,style,language,spotify_uri,spotify_popularity,year_source,needs_year_review
Cyndi Lauper,Girls Just Want to Have Fun,1983,1980s,Curated,international,spotify:track:4y1LsJpmMti1PfRQV9AWWe,,curated,no
Eurythmics,Sweet Dreams (Are Made of This),1983,1980s,Curated,international,spotify:track:1TfqLAPs4K3s2rJMoCokcS,,curated,no
KFT,Afrika,1984,1980s,Curated,hu,spotify:track:0N74pmW0J0EN4fvajOIhAT,,curated,no
Madonna,Like a Virgin,1984,1980s,Curated,international,spotify:track:7KV1O7Un7wlBSRJiWHJGC0,,curated,no
Wham!,Wake Me Up Before You Go-Go,1984,1980s,Curated,international,spotify:track:0ikz6tENMONtK6qGkOrU3c,,curated,no
a-ha,Take on Me,1985,1980s,Curated,international,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,,curated,no
Bikini,Mielőtt elmegyek,1985,1980s,Curated,hu,spotify:track:1kS1iecMrLnwy7pFWU9Pkt,,curated,no
Bryan Adams,Summer of '69,1985,1980s,Curated,international,spotify:track:0GONea6G2XdnHWjNZd6zt3,,curated,no
EDDA Művek,A kör,1985,1980s,Curated,hu,spotify:track:2Red6Iwlzb7owsQzWWKc2I,,curated,no
Bon Jovi,Livin' on a Prayer,1986,1980s,Curated,international,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,,curated,no
Europe,The Final Countdown,1986,1980s,Curated,international,spotify:track:3MrRksHupTVEQ7YbA0FsZK,,curated,no
Guns N' Roses,Sweet Child o' Mine,1987,1980s,Curated,international,spotify:track:7snQQk1zcKl8gZ92AnueZW,,curated,no
Rick Astley,Never Gonna Give You Up,1987,1980s,Curated,international,spotify:track:4PTG3Z6ehGkBFwjybzWkR8,,curated,no
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),1987,1980s,Curated,international,spotify:track:3lVZi163UlgmyUlWAXwbkD,,curated,no
Zoltán Erika,Szerelemre születtem,1987,1980s,Curated,hu,spotify:track:6oAOsq558OLmEo5i7wr4ZN,,curated,no
Bonanza Banzai,Induljon a banzáj!,1988,1980s,Curated,hu,spotify:track:1lWCwcttTCtjR4u4O3Hc3P,,curated,no
Bikini,Közeli helyeken,1989,1980s,Curated,hu,spotify:track:54bq5Vwob1P0ifl6OlNfrC,,curated,no
Demjén Ferenc,Szerelemvonat,1989,1980s,Curated,hu,spotify:track:1OdCOUGAufSGjQ3lZEaUqm,,curated,no
Pa-Dö-Dö,Bye-Bye Szása,1990,1990s,Curated,hu,spotify:track:49dpGiiE2LKH199LzXGHrA,,curated,no
Sinéad O'Connor,Nothing Compares 2 U,1990,1990s,Curated,international,spotify:track:5GHY1DFWKz3Prg2V0Iodqo,,curated,no
Nirvana,Smells Like Teen Spirit,1991,1990s,Curated,international,spotify:track:4CeeEOM32jQcH3eN9Q2dGj,,curated,no
R.E.M.,Losing My Religion,1991,1990s,Curated,international,spotify:track:31AOj9sFz2gM0O3hMARRBx,,curated,no
4 Non Blondes,What's Up?,1992,1990s,Curated,international,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,,curated,no
Ace of Base,All That She Wants,1992,1990s,Curated,international,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,,curated,no
Robin S,Show Me Love,1993,1990s,Curated,international,spotify:track:4t0UsYzmmmZRMTWn77jiGF,,curated,no
Rednex,Cotton Eye Joe,1994,1990s,Curated,international,spotify:track:06hsdMbBxWGqBO0TV0Zrkf,,curated,no
Republic,A 67-es út,1994,1990s,Curated,hu,spotify:track:5vg3KuGF3wB19PCOzDBYGS,,curated,no
Scatman John,Scatman (Ski-Ba-Bop-Ba-Dop-Bop),1994,1990s,Curated,international,spotify:track:623rRTKwGmgjH6sjE9uWLh,,curated,no
Zámbó Jimmy,Még nem veszíthetek,1994,1990s,Curated,hu,spotify:track:1CkngvTu7wgubaFvMb87ae,,curated,no
Ámokfutók,Szomorú szamuráj,1995,1990s,Curated,hu,spotify:track:0xbYIxxTeqRHrQ4M7wMZd4,,curated,no
Republic,Szállj el kismadár,1995,1990s,Curated,hu,spotify:track:3m3dleuZ3G0emS6PSU9nUN,,curated,no
Emergency House,Dübörög a ház,1996,1990s,Curated,hu,spotify:track:59aWmUxSXfAt5ubrGRgoqQ,,curated,no
